Power_per_year,dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,depth,res_length,n_streams,m_dot,year
2002.72688882274,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,0.1
1912.46032626564,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,0.5
1854.8323484932,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,1
1792.02143920211,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,2
1754.3239767673,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,3
1726.8764134862,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,4
1705.68998680874,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,5
1687.94035988322,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,6
1673.49316678675,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,7
1660.79734847954,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,8
1649.74587667223,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,9
1639.75694724866,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,10
1630.62891193772,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,11
1623.121288019,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,12
1615.3037836644,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,13
1608.90030814893,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,14
1602.03134323364,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,15
1596.44730168954,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,16
1590.57127177395,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,17
1585.6175297537,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,18
1580.02611014861,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,19
1575.8464334208,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,20
1571.5047519452,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,21
1566.93065016172,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,22
1562.95441372336,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,23
1558.71959284716,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,24
1555.04956243221,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,25
1551.8828404457,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,26
1547.94489104988,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,27
1544.76512589932,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,28
1541.94609984441,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,29
1539.22491055932,1624.42452098895,190.951350597007,199.495143837762,6000,7000,7,70.7246407516462,30
