dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
27326.5928521545,17.2767666639859,17.7846509552194,0,6000,10000,7,206.51231564506,10.6931642888404,472115168.428419,485993915.670961,49105317.3757761,423009851.052643,436888598.295185,1
21145.0350344706,21.0745925176207,21.7309521415191,0.111111111111111,6000,10000,7,98.0201031225442,6.20561810262409,445622997.122283,459501744.364824,22613146.0696393,423009851.052643,436888598.295185,1
21330.4812950175,21.0458145708407,21.6964678332115,0.222222222222222,6000,10000,7,106.237491944648,6.88808628329308,448917354.041724,462796101.284266,25907502.9890806,423009851.052643,436888598.295185,1
18611.6116419088,24.2211640329868,24.9668677103239,0.333333333333333,6000,10000,7,106.237760296278,6.88810209661923,450794898.496918,464673645.73946,27785047.4442748,423009851.052643,436888598.295185,1
15892.1970232435,28.4721441584825,29.3454499211938,0.444444444444444,6000,10000,7,106.238026357492,6.88811777497266,452484924.640795,466363671.883337,29475073.5881518,423009851.052643,436888598.295185,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
